split,policy_id,claim_family,effect_size,effective_n,family_correlation,multiplicity,benchmark_count,false_license_rate,false_license_upper_95,true_license_power,abstention_rate,false_block_rate,decision_regret,coverage,license_precision,license_recall,licensed_count,true_supported_count,null_count,observation_count
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.025,96,0.05,12,5,0.0,0.0,0.0,1.0,1.0,0.0,0.8611111111111112,0.0,0.0,0,18,18,36
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.025,96,0.05,40,3,0.0,0.0,0.5,0.75,0.5,0.002651005528087014,0.925,1.0,0.5,10,20,20,40
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.025,96,0.85,1,5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,1,0,1
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.025,96,0.85,12,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,12,12,24
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.025,96,0.85,40,1,0.0,0.0,0.0,1.0,1.0,0.0,0.9833333333333333,0.0,0.0,0,60,60,120
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.06,12,0.45,1,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,1,0,1
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.06,12,0.45,12,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,6,6,12
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.06,12,0.45,12,5,0.0,0.0,0.0,1.0,1.0,0.0,0.8333333333333334,0.0,0.0,0,12,12,24
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.06,12,0.45,40,1,0.0,0.0,0.0,1.0,1.0,0.0,0.95,0.0,0.0,0,40,40,80
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.06,12,0.45,40,3,0.0,0.0,0.0,1.0,1.0,0.0,0.95,0.0,0.0,0,20,20,40
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.06,12,0.85,1,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,4,0,4
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.06,12,0.85,12,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,6,6,12
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.06,12,0.85,40,5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,40,40,80
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.06,36,0.45,1,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,2,0,2
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.06,36,0.45,12,3,0.0,0.0,1.0,0.5,0.0,0.009440751072763804,0.8333333333333334,1.0,1.0,6,6,6,12
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.06,36,0.45,40,1,0.0,0.0,0.0,1.0,1.0,0.0,0.975,0.0,0.0,0,40,40,80
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.06,36,0.45,40,5,0.0,0.0,0.0,1.0,1.0,0.0,0.775,0.0,0.0,0,20,20,40
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.06,36,0.85,1,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2,0,2
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.06,36,0.85,12,5,0.0,0.0,0.3333333333333333,0.8333333333333334,0.6666666666666667,0.004879753967227129,1.0,1.0,0.3333333333333333,6,18,18,36
POLICY_DEVELOPMENT,BALANCED,PRIMARY_PAIRWISE,0.06,36,0.85,40,3,0.0,0.0,0.0,1.0,1.0,0.0,0.9875,0.0,0.0,0,40,40,80
